scope,image_id,method,frequency_filter,pyramid_levels,nms,image_scale,repeatability,localization_error_px,repeated_points,reference_keypoints,scene_keypoints
scale_curve,IMG_0258,Harris,gaussian_lowpass,3,True,0.75,0.6779661016949152,2.571354389190674,40,59,110
scale_curve,IMG_0258,Harris,gaussian_lowpass,3,True,1.0,0.7457627118644068,2.3207069635391235,44,59,210
scale_curve,IMG_0258,Harris,gaussian_lowpass,3,True,1.25,0.7627118644067796,2.1597118377685547,45,59,218
scale_curve,IMG_0258,Shi-Tomasi,gaussian_lowpass,3,True,0.5,0.4772727272727273,2.064356803894043,21,56,44
scale_curve,IMG_0258,Shi-Tomasi,gaussian_lowpass,3,True,0.75,0.6964285714285714,2.949890613555908,39,56,105
scale_curve,IMG_0258,Shi-Tomasi,gaussian_lowpass,3,True,1.0,0.7142857142857143,2.4585723876953125,40,56,190
scale_curve,IMG_0258,Shi-Tomasi,gaussian_lowpass,3,True,1.25,0.6428571428571429,2.5281081199645996,36,56,218
scale_curve,IMG_0258,SIFT,gaussian_lowpass,3,True,0.5,0.5217391304347826,2.03717839717865,12,23,42
scale_curve,IMG_0258,SIFT,gaussian_lowpass,3,True,0.75,0.6086956521739131,2.0099117159843445,14,23,50
scale_curve,IMG_0258,SIFT,gaussian_lowpass,3,True,1.0,0.5217391304347826,1.790915846824646,12,23,46
scale_curve,IMG_0258,SIFT,gaussian_lowpass,3,True,1.25,0.5217391304347826,2.0109658241271973,12,23,46
scale_curve,IMG_0258,Sobel,ideal_highpass,3,True,0.5,0.5777777777777777,2.2150737047195435,26,57,45
scale_curve,IMG_0258,Sobel,ideal_highpass,3,True,0.75,0.7368421052631579,2.143061399459839,42,57,88
scale_curve,IMG_0258,Sobel,ideal_highpass,3,True,1.0,0.7192982456140351,1.946379542350769,41,57,181
scale_curve,IMG_0258,Sobel,ideal_highpass,3,True,1.25,0.6666666666666666,1.8718451261520386,38,57,219
