scope,image_id,method,frequency_filter,pyramid_levels,nms,noise_sigma,repeatability,localization_error_px,repeated_points,reference_keypoints,scene_keypoints
noise_curve,IMG_0258,Harris,gaussian_lowpass,3,True,10.0,0.7457627118644068,2.318606734275818,44,59,201
noise_curve,IMG_0258,Harris,gaussian_lowpass,3,True,20.0,0.7288135593220338,2.125988721847534,43,59,200
noise_curve,IMG_0258,Shi-Tomasi,gaussian_lowpass,3,True,0.0,0.7142857142857143,2.4585723876953125,40,56,190
noise_curve,IMG_0258,Shi-Tomasi,gaussian_lowpass,3,True,5.0,0.7678571428571429,2.4752135276794434,43,56,189
noise_curve,IMG_0258,Shi-Tomasi,gaussian_lowpass,3,True,10.0,0.7678571428571429,2.6518733501434326,43,56,189
noise_curve,IMG_0258,Shi-Tomasi,gaussian_lowpass,3,True,20.0,0.7857142857142857,2.4833319187164307,44,56,180
noise_curve,IMG_0258,SIFT,gaussian_lowpass,3,True,0.0,0.5217391304347826,1.790915846824646,12,23,46
noise_curve,IMG_0258,SIFT,gaussian_lowpass,3,True,5.0,0.5652173913043478,1.8553074598312378,13,23,46
noise_curve,IMG_0258,SIFT,gaussian_lowpass,3,True,10.0,0.43478260869565216,2.027522087097168,10,23,46
noise_curve,IMG_0258,SIFT,gaussian_lowpass,3,True,20.0,0.391304347826087,2.2173099517822266,9,23,41
noise_curve,IMG_0258,Sobel,ideal_highpass,3,True,0.0,0.7192982456140351,1.946379542350769,41,57,181
noise_curve,IMG_0258,Sobel,ideal_highpass,3,True,5.0,0.7368421052631579,2.2131052017211914,42,57,179
noise_curve,IMG_0258,Sobel,ideal_highpass,3,True,10.0,0.7368421052631579,1.8213137984275818,42,57,187
noise_curve,IMG_0258,Sobel,ideal_highpass,3,True,20.0,0.7543859649122807,1.987468957901001,43,57,210
noise_curve,IMG_0258,LoG,ideal_highpass,3,True,0.0,0.66,2.5441718101501465,66,100,217
noise_curve,IMG_0258,LoG,ideal_highpass,3,True,5.0,0.67,2.389559030532837,67,100,217
noise_curve,IMG_0258,LoG,ideal_highpass,3,True,10.0,0.68,2.4137842655181885,68,100,218
noise_curve,IMG_0258,LoG,ideal_highpass,3,True,20.0,0.71,2.43800950050354,71,100,217
noise_curve,IMG_0258,Harris,ideal_highpass,3,True,0.0,0.6770833333333334,2.472034215927124,65,96,219
noise_curve,IMG_0258,Harris,ideal_highpass,3,True,5.0,0.6979166666666666,2.5147478580474854,67,96,219
noise_curve,IMG_0258,Harris,ideal_highpass,3,True,10.0,0.6770833333333334,2.5390443801879883,65,96,219
noise_curve,IMG_0258,Harris,ideal_highpass,3,True,20.0,0.6458333333333334,2.2380921840667725,62,96,217
noise_curve,IMG_0258,Shi-Tomasi,ideal_highpass,3,True,0.0,0.7066666666666667,2.7620060443878174,53,75,220
noise_curve,IMG_0258,Shi-Tomasi,ideal_highpass,3,True,5.0,0.7466666666666667,2.7041455507278442,56,75,219
noise_curve,IMG_0258,Shi-Tomasi,ideal_highpass,3,True,10.0,0.68,2.9382989406585693,51,75,220
noise_curve,IMG_0258,Shi-Tomasi,ideal_highpass,3,True,20.0,0.64,2.5895432233810425,48,75,219
noise_curve,IMG_0258,SIFT,ideal_highpass,3,True,0.0,0.15,0.9034962058067322,3,20,28
noise_curve,IMG_0258,SIFT,ideal_highpass,3,True,5.0,0.2,1.0301945507526398,4,20,32
noise_curve,IMG_0258,SIFT,ideal_highpass,3,True,10.0,0.25,2.2619590759277344,5,20,32
noise_curve,IMG_0258,SIFT,ideal_highpass,3,True,20.0,0.35,2.3969810009002686,7,20,34
noise_curve,IMG_0258,Sobel,gaussian_highpass,3,True,0.0,0.8085106382978723,1.833099603652954,38,47,162
noise_curve,IMG_0258,Sobel,gaussian_highpass,3,True,5.0,0.8085106382978723,2.1270358562469482,38,47,161
noise_curve,IMG_0258,Sobel,gaussian_highpass,3,True,10.0,0.8723404255319149,2.0912909507751465,41,47,180
noise_curve,IMG_0258,Sobel,gaussian_highpass,3,True,20.0,0.8723404255319149,2.0912909507751465,41,47,218
noise_curve,IMG_0258,LoG,gaussian_highpass,3,True,0.0,0.6947368421052632,2.3286176919937134,66,95,218
