frequency_filter,method,image_scale,count,repeatability,repeatability_std,repeatability_valid_count,localization_error_px,localization_error_px_std,localization_error_px_valid_count
gaussian_highpass,Harris,0.5,11,0.5634538046543701,0.11528589089911616,11,2.683927595615387,0.43084764853990615,11
gaussian_highpass,Harris,0.75,11,0.5985710248136985,0.11210892212607482,11,2.612843594767831,0.4043162153051502,11
gaussian_highpass,Harris,1.0,11,0.6641645270580004,0.09504555766414297,11,2.4840241887352685,0.2826691147779567,11
gaussian_highpass,Harris,1.25,11,0.6649004050273628,0.09796149417781437,11,2.565306165001609,0.394881525893005,11
gaussian_highpass,LoG,0.5,11,0.5079597815924974,0.12789765200055933,11,2.7720669453794304,0.410510429429621,11
gaussian_highpass,LoG,0.75,11,0.5947229676081299,0.11520245558173749,11,2.609221409667622,0.5201643040772299,11
gaussian_highpass,LoG,1.0,11,0.6719382522036736,0.10240280222288534,11,2.398989986289631,0.30860557859056353,11
gaussian_highpass,LoG,1.25,11,0.6686035813737263,0.10444133436780215,11,2.550128785046664,0.34337871065846237,11
gaussian_highpass,SIFT,0.5,11,0.2982323572241462,0.10799068910860454,11,2.650716708465056,0.7979291468856652,11
gaussian_highpass,SIFT,0.75,11,0.38227796139542486,0.08642111483846171,11,2.5027054060589182,0.6345870981806317,11
gaussian_highpass,SIFT,1.0,11,0.3672981914743316,0.09501570089072564,11,2.289529800415039,0.635907470479721,11
gaussian_highpass,SIFT,1.25,11,0.2897024893509799,0.09821908485823017,11,2.2369041090661828,0.6563088059702494,11
gaussian_highpass,Shi-Tomasi,0.5,11,0.5054542217223561,0.15341787882176044,11,2.7852671363136987,0.4187877868124841,11
gaussian_highpass,Shi-Tomasi,0.75,11,0.5751842774887105,0.1372803495131152,11,2.673423940485174,0.27526415684679295,11
gaussian_highpass,Shi-Tomasi,1.0,11,0.6507836788244867,0.09958492628064615,11,2.51852530782873,0.30118995939922416,11
gaussian_highpass,Shi-Tomasi,1.25,11,0.6963630559171431,0.08679561789813697,11,2.5295976888049734,0.2814085537474061,11
