frequency_filter,method,noise_sigma,count,repeatability,repeatability_std,repeatability_valid_count,localization_error_px,localization_error_px_std,localization_error_px_valid_count
gaussian_highpass,Harris,0.0,11,0.6641645270580004,0.09504555766414297,11,2.4840241887352685,0.2826691147779567,11
gaussian_highpass,Harris,5.0,11,0.6520972104893842,0.09673448900977492,11,2.472854272885756,0.2782397101672911,11
gaussian_highpass,Harris,10.0,11,0.6607547731676491,0.06556122773186646,11,2.5832367756149988,0.3325765280158624,11
gaussian_highpass,Harris,20.0,11,0.638767635598954,0.05121349336217002,11,2.641090831973336,0.284215473079839,11
gaussian_highpass,LoG,0.0,11,0.6719382522036736,0.10240280222288534,11,2.398989986289631,0.30860557859056353,11
gaussian_highpass,LoG,5.0,11,0.6641592582731911,0.08415221346213589,11,2.3595626137473364,0.2566280746828312,11
gaussian_highpass,LoG,10.0,11,0.6659682081657526,0.09995403908067639,11,2.390458258715543,0.26862334176242464,11
gaussian_highpass,LoG,20.0,11,0.6675656796275646,0.08999452592877223,11,2.462707205252214,0.27897396504469923,11
gaussian_highpass,SIFT,0.0,11,0.3672981914743316,0.09501570089072564,11,2.289529800415039,0.635907470479721,11
gaussian_highpass,SIFT,5.0,11,0.39137860450835404,0.08788314351957664,11,2.343886960636486,0.7165198127372437,11
gaussian_highpass,SIFT,10.0,11,0.3924985732704868,0.11363164808198517,11,2.3872145143422214,0.6759026841974973,11
gaussian_highpass,SIFT,20.0,11,0.38046281659211334,0.13102967663590565,11,2.4852934804829685,0.5564904736110251,11
gaussian_highpass,Shi-Tomasi,0.0,11,0.6507836788244867,0.09958492628064615,11,2.51852530782873,0.30118995939922416,11
gaussian_highpass,Shi-Tomasi,5.0,11,0.6757619287168821,0.09347604383100712,11,2.506491005420685,0.2766579357554039,11
gaussian_highpass,Shi-Tomasi,10.0,11,0.6550079309042987,0.09222472043668302,11,2.5850774103944953,0.2549290967395813,11
gaussian_highpass,Shi-Tomasi,20.0,11,0.6260631008485871,0.0782591113211777,11,2.6268560778010976,0.24259517014824258,11
gaussian_highpass,Sobel,0.0,11,0.7764444533922673,0.08933523803012502,11,2.196864588694139,0.2960842186699254,11
gaussian_highpass,Sobel,5.0,11,0.7701573210329193,0.11040526797059101,11,2.2090176235545766,0.26815486410002304,11
gaussian_highpass,Sobel,10.0,11,0.7738071905419449,0.10760088879402166,11,2.262239933013916,0.3529279436050082,11
gaussian_highpass,Sobel,20.0,11,0.7765370507099479,0.11867669615035362,11,2.223971052603288,0.23374733152109892,11
gaussian_lowpass,Harris,0.0,11,0.7090371518682852,0.1313444617046555,11,2.267723701216958,0.35477933872117645,11
gaussian_lowpass,Harris,5.0,11,0.7149940683808149,0.13713922646266832,11,2.2354764396494087,0.2980595977010953,11
gaussian_lowpass,Harris,10.0,11,0.7082107201738704,0.14224205021989617,11,2.1602745164524424,0.2413683008563947,11
gaussian_lowpass,Harris,20.0,11,0.7099018068224843,0.1289161593054514,11,2.332328276200728,0.33228655503966975,11
gaussian_lowpass,LoG,0.0,11,0.7490703289038163,0.15177195697626675,11,2.21501286463304,0.4202626023537727,11
gaussian_lowpass,LoG,5.0,11,0.7676921800881099,0.16374129921087138,11,2.2333846525712446,0.3987952232196675,11
gaussian_lowpass,LoG,10.0,11,0.7655878808515255,0.16850405963449275,11,2.208456136963584,0.37338240541489376,11
gaussian_lowpass,LoG,20.0,11,0.7282400869819926,0.14721454272699977,11,2.117463794621554,0.33565106057877936,11
gaussian_lowpass,SIFT,0.0,11,0.5467281510759772,0.12302259199758601,11,2.237298293547197,0.5905190401060922,11
gaussian_lowpass,SIFT,5.0,11,0.5338493631971893,0.10980097010756232,11,2.2606580311601814,0.6110435369909625,11
gaussian_lowpass,SIFT,10.0,11,0.5051602986385595,0.11797992735420702,11,2.277142280882055,0.6221731965722165,11
gaussian_lowpass,SIFT,20.0,11,0.48109354413702243,0.12703229430343277,11,2.180257493799383,0.6211853491106758,11
gaussian_lowpass,Shi-Tomasi,0.0,11,0.7055683734063753,0.12893406037043764,11,2.2534155791456048,0.3473155120065862,11
gaussian_lowpass,Shi-Tomasi,5.0,11,0.7051855908244987,0.13351309774532044,11,2.255220451138236,0.36609441341286786,11
gaussian_lowpass,Shi-Tomasi,10.0,11,0.7005517086864986,0.14232286045898934,11,2.176954144781286,0.29236429641830564,11
gaussian_lowpass,Shi-Tomasi,20.0,11,0.7098468900654412,0.14681523913013872,11,2.3331457484852183,0.3437660323407436,11
gaussian_lowpass,Sobel,0.0,11,0.7162708766463708,0.17528949775728328,11,2.1851857629689304,0.46933871812228906,11
gaussian_lowpass,Sobel,5.0,11,0.6997055660840246,0.15568294022498355,11,2.2814215421676636,0.4149285881320318,11
gaussian_lowpass,Sobel,10.0,11,0.6931911747584466,0.13722997005125903,11,2.3057001504031094,0.4100736103314403,11
gaussian_lowpass,Sobel,20.0,11,0.6813878375211142,0.13051360479861457,11,2.3090908527374268,0.35807930406259497,11
ideal_highpass,Harris,0.0,11,0.684088939157571,0.1023097866023626,11,2.442202188751914,0.27790087321776874,11
ideal_highpass,Harris,5.0,11,0.694156763644516,0.08833297280623656,11,2.4765582409772007,0.3211981249931586,11
ideal_highpass,Harris,10.0,11,0.6924737993747573,0.07248741394162707,11,2.4951208504763516,0.27624680915460187,11
ideal_highpass,Harris,20.0,11,0.6701691728260456,0.0792626769114367,11,2.466985919258811,0.2791835558830776,11
ideal_highpass,LoG,0.0,11,0.662404151146409,0.07211583416856615,11,2.3803106654774058,0.23783544720228453,11
ideal_highpass,LoG,5.0,11,0.6659543163618586,0.07072450039206382,11,2.374840400435708,0.23589378194603683,11
ideal_highpass,LoG,10.0,11,0.6590720634603842,0.0722477346470426,11,2.3795221827246924,0.29421427300866826,11
ideal_highpass,LoG,20.0,11,0.6558530638917792,0.07852903495901135,11,2.4315852468663994,0.19983957012983078,11
ideal_highpass,SIFT,0.0,11,0.40287155636125893,0.13096598736699502,11,2.3181889707391914,0.8886403137419936,11
ideal_highpass,SIFT,5.0,11,0.394059754128404,0.11231398447327201,11,2.395463453097777,1.0013714818386767,11
ideal_highpass,SIFT,10.0,11,0.4013221184273816,0.13767643198120022,11,2.4771851084449072,0.8138133762129001,11
ideal_highpass,SIFT,20.0,11,0.4677958620750383,0.14475100383953113,11,2.582420300353657,0.6615442674618348,11
ideal_highpass,Shi-Tomasi,0.0,11,0.6511406953669019,0.1057628858489068,11,2.4582715142856943,0.3145513970384896,11
ideal_highpass,Shi-Tomasi,5.0,11,0.6516163763891288,0.09978048640870436,11,2.468616008758545,0.3358879830009658,11
ideal_highpass,Shi-Tomasi,10.0,11,0.6532455312809167,0.10644548319565575,11,2.556788758798079,0.3585464977255316,11
ideal_highpass,Shi-Tomasi,20.0,11,0.6474472931519382,0.06760458628806659,11,2.4766226681795986,0.23455810316014658,11
ideal_highpass,Sobel,0.0,11,0.7251904631250292,0.10757458607471601,11,2.177628907290372,0.26559655529698634,11
ideal_highpass,Sobel,5.0,11,0.7520975219393157,0.09393682369051115,11,2.2069750915874136,0.21926102881416745,11
ideal_highpass,Sobel,10.0,11,0.7512150372840114,0.08782224744319504,11,2.219000361182473,0.2583639740196443,11
ideal_highpass,Sobel,20.0,11,0.7442687253508047,0.08295624749763539,11,2.378621377728202,0.2814235954157081,11
ideal_lowpass,Harris,0.0,11,0.5197792828469102,0.08227625971734917,11,2.3538321906870063,0.32368292581305613,11
ideal_lowpass,Harris,5.0,11,0.525174525763939,0.08493088025414486,11,2.3852255940437317,0.29862130371683365,11
ideal_lowpass,Harris,10.0,11,0.5385021298319469,0.07173621505504112,11,2.3806937607851895,0.3362090830815634,11
ideal_lowpass,Harris,20.0,11,0.5442262618050674,0.07865564682652312,11,2.449919039552862,0.30317470795157947,11
ideal_lowpass,LoG,0.0,11,0.5347979620706894,0.0727881692878215,11,2.5499208352782508,0.33722596240457414,11
ideal_lowpass,LoG,5.0,11,0.5332998287543742,0.08040819494050584,11,2.575974464416504,0.4578269673627953,11
ideal_lowpass,LoG,10.0,11,0.5355102446011536,0.08288202772605818,11,2.5357020822438328,0.4782304271543449,11
ideal_lowpass,LoG,20.0,11,0.54366586184768,0.09801372354171652,11,2.6291183016516944,0.5588945607629756,11
ideal_lowpass,SIFT,0.0,11,0.6336233855583701,0.11438751544017511,11,2.4641829024661672,0.250065114199526,11
ideal_lowpass,SIFT,5.0,11,0.6332891609594397,0.12209576595442237,11,2.5307518460533838,0.3033044007611631,11
ideal_lowpass,SIFT,10.0,11,0.6198322231603965,0.1073119953704944,11,2.508468904278495,0.27573537604223214,11
ideal_lowpass,SIFT,20.0,11,0.6200980392156863,0.10287395543630744,11,2.585470351305875,0.31724434241381144,11
ideal_lowpass,Shi-Tomasi,0.0,11,0.5253831083054877,0.07357141944326769,11,2.376674836332148,0.5170883608319055,11
ideal_lowpass,Shi-Tomasi,5.0,11,0.5284287195971863,0.08558243870935718,11,2.3846492171287537,0.48510973613293656,11
ideal_lowpass,Shi-Tomasi,10.0,11,0.5237974025284875,0.09063431369138299,11,2.374303725632754,0.38339465208669,11
ideal_lowpass,Shi-Tomasi,20.0,11,0.5376785839795158,0.06497463179229768,11,2.431634306907654,0.36696904927087376,11
ideal_lowpass,Sobel,0.0,11,0.6472222448397997,0.14706294920579982,11,2.7778983658010308,0.2102720646402349,11
ideal_lowpass,Sobel,5.0,11,0.6514664332532671,0.14467740867510037,11,2.75947921926325,0.17699273735189353,11
ideal_lowpass,Sobel,10.0,11,0.6409882750478362,0.15106485741997344,11,2.832104520364241,0.26910365470334613,11
ideal_lowpass,Sobel,20.0,11,0.6232251760778408,0.15007349965704972,11,2.7857777097008447,0.3825356982865033,11
none,Harris,0.0,11,0.6859568484408757,0.10738483167925128,11,2.3431153405796397,0.32561277927972165,11
none,Harris,5.0,11,0.6836546070179609,0.11231089377710428,11,2.3333100459792395,0.28811742967617926,11
none,Harris,10.0,11,0.681788564496462,0.12472900682641204,11,2.3315140334042637,0.3422012376720133,11
none,Harris,20.0,11,0.6516281735654151,0.0911095211722379,11,2.3938678286292334,0.3533885486175068,11
none,LoG,0.0,11,0.7379078931663939,0.13985185636592112,11,2.05559072711251,0.30301389906582593,11
none,LoG,5.0,11,0.7506287319368737,0.1385597299701679,11,2.0263404792005364,0.311965060176053,11
none,LoG,10.0,11,0.7500945363170831,0.12770202192074812,11,2.041589926589619,0.3110468547688283,11
none,LoG,20.0,11,0.75130027535476,0.10557557737421902,11,2.1394628177989614,0.26035236492980807,11
none,SIFT,0.0,11,0.6308119558758946,0.1379793832850702,11,1.841551360758868,0.3889832955446231,11
none,SIFT,5.0,11,0.6376301376940763,0.15612288914100408,11,2.0319279649040918,0.4207274320441697,11
none,SIFT,10.0,11,0.6450302255289467,0.15666977293700157,11,2.0641699460419742,0.41322651802379357,11
none,SIFT,20.0,11,0.6037752848174843,0.13047326582904986,11,2.0904905416748742,0.47938802724015156,11
none,Shi-Tomasi,0.0,11,0.6528525415172542,0.11741162005607779,11,2.289873578331687,0.3819214686167745,11
none,Shi-Tomasi,5.0,11,0.6603569716833029,0.1378722053741236,11,2.244529962539673,0.313306932208598,11
none,Shi-Tomasi,10.0,11,0.6511509848881614,0.1320887080843187,11,2.2852792523124,0.2783679938345932,11
none,Shi-Tomasi,20.0,11,0.6460500654760547,0.0985916128177607,11,2.4553275975314053,0.342911475063703,11
none,Sobel,0.0,11,0.7393025130073315,0.17831897002263022,11,2.132452217015353,0.4038815452416446,11
none,Sobel,5.0,11,0.7456892989143751,0.1748236912913892,11,2.1648972793058916,0.4579727552136859,11
none,Sobel,10.0,11,0.7603714216430265,0.15166604880984422,11,2.114134143699299,0.4731408970226517,11
none,Sobel,20.0,11,0.7856712204193954,0.14872359728285484,11,2.149209055033597,0.384339513342081,11
