scope,image_id,capture_group,visible_blur,notes,method,frequency_filter,pyramid_levels,nms,repeatability,matching_accuracy,localization_error_px,matching_error_px,runtime_ms,reference_keypoints,scene_keypoints,raw_reference_keypoints,raw_scene_keypoints,repeated_points,accepted_matches,correct_matches
main_grid,IMG_0258,near laptop,low,"Close view, cool illumination; right page cropped.",LoG,ideal_lowpass,3,True,0.5135135135135135,0.0,2.4773635864257812,11.03320026397705,319.7117999998227,37,119,39,119,19,2,0
main_grid,IMG_0258,near laptop,low,"Close view, cool illumination; right page cropped.",Harris,ideal_lowpass,3,True,0.5842696629213483,1.0,2.388207197189331,3.8439369201660156,361.2352000000101,89,214,94,214,52,1,1
main_grid,IMG_0258,near laptop,low,"Close view, cool illumination; right page cropped.",Shi-Tomasi,ideal_lowpass,3,True,0.5671641791044776,nan,3.164693236351013,nan,348.8784000001033,67,170,75,170,38,0,0
main_grid,IMG_0258,near laptop,low,"Close view, cool illumination; right page cropped.",SIFT,ideal_lowpass,3,True,0.5555555555555556,0.75,2.258955955505371,2.985889196395874,768.2633999993413,18,55,19,57,10,4,3
main_grid,IMG_0258,near laptop,low,"Close view, cool illumination; right page cropped.",Sobel,gaussian_lowpass,1,True,0.9,0.0,1.750857949256897,87.7071304321289,286.70429999965563,30,65,32,65,27,2,0
main_grid,IMG_0258,near laptop,low,"Close view, cool illumination; right page cropped.",LoG,gaussian_lowpass,1,True,0.696969696969697,0.0,2.2421605587005615,6.012446880340576,268.90670000011596,33,102,39,102,23,2,0
main_grid,IMG_0258,near laptop,low,"Close view, cool illumination; right page cropped.",Harris,gaussian_lowpass,1,True,0.7058823529411765,0.5,2.318606734275818,5.095394611358643,323.65909999953146,51,194,60,197,36,2,1
main_grid,IMG_0258,near laptop,low,"Close view, cool illumination; right page cropped.",Shi-Tomasi,gaussian_lowpass,1,True,0.6666666666666666,0.5,2.1655715703964233,4.163971424102783,338.1219000002602,45,174,56,174,30,2,1
main_grid,IMG_0258,near laptop,low,"Close view, cool illumination; right page cropped.",SIFT,gaussian_lowpass,1,True,0.5714285714285714,1.0,1.148780733346939,0.887917160987854,656.448900000214,7,14,7,14,4,2,2
main_grid,IMG_0258,near laptop,low,"Close view, cool illumination; right page cropped.",Sobel,gaussian_lowpass,2,True,0.9032258064516129,0.3333333333333333,1.7374844551086426,10.598302841186523,360.3696999998647,31,67,34,67,28,3,1
main_grid,IMG_0258,near laptop,low,"Close view, cool illumination; right page cropped.",LoG,gaussian_lowpass,2,True,0.7428571428571429,0.3333333333333333,1.9926683902740479,6.333919048309326,359.80970000036905,35,108,41,108,26,3,1
main_grid,IMG_0258,near laptop,low,"Close view, cool illumination; right page cropped.",Harris,gaussian_lowpass,2,True,0.7368421052631579,0.5,2.3229992389678955,3.926274299621582,407.31830000004265,57,206,69,209,42,4,2
main_grid,IMG_0258,near laptop,low,"Close view, cool illumination; right page cropped.",Shi-Tomasi,gaussian_lowpass,2,True,0.6981132075471698,0.6666666666666666,2.408308744430542,3.3701589107513428,378.28429999990476,53,187,67,187,37,3,2
main_grid,IMG_0258,near laptop,low,"Close view, cool illumination; right page cropped.",SIFT,gaussian_lowpass,2,True,0.4117647058823529,0.5,1.6805524826049805,3.160956382751465,794.5382000007157,17,28,17,30,7,4,2
main_grid,IMG_0258,near laptop,low,"Close view, cool illumination; right page cropped.",Sobel,gaussian_lowpass,3,True,0.875,0.3333333333333333,1.7374844551086426,10.598302841186523,365.270899999814,32,68,35,68,28,3,1
main_grid,IMG_0258,near laptop,low,"Close view, cool illumination; right page cropped.",LoG,gaussian_lowpass,3,True,0.7567567567567568,0.5,1.7526417970657349,3.856981039047241,363.6533999997482,37,114,43,114,28,2,1
main_grid,IMG_0258,near laptop,low,"Close view, cool illumination; right page cropped.",Harris,gaussian_lowpass,3,True,0.7457627118644068,0.6,2.3207069635391235,3.2588746547698975,423.4193000002051,59,210,71,213,44,5,3
main_grid,IMG_0258,near laptop,low,"Close view, cool illumination; right page cropped.",Shi-Tomasi,gaussian_lowpass,3,True,0.7142857142857143,0.6666666666666666,2.4585723876953125,3.3701589107513428,377.4479000003339,56,190,70,190,40,3,2
main_grid,IMG_0258,near laptop,low,"Close view, cool illumination; right page cropped.",SIFT,gaussian_lowpass,3,True,0.5217391304347826,0.6666666666666666,1.790915846824646,2.0237457752227783,837.9844000000958,23,46,23,49,12,6,4
main_grid,IMG_0258,near laptop,low,"Close view, cool illumination; right page cropped.",Sobel,ideal_highpass,1,True,0.8095238095238095,nan,2.4170643091201782,nan,312.32639999961975,42,149,52,150,34,0,0
main_grid,IMG_0258,near laptop,low,"Close view, cool illumination; right page cropped.",LoG,ideal_highpass,1,True,0.6923076923076923,nan,2.6099131107330322,nan,316.99099999968894,78,208,90,210,54,0,0
main_grid,IMG_0258,near laptop,low,"Close view, cool illumination; right page cropped.",Harris,ideal_highpass,1,True,0.6746987951807228,nan,2.8184938430786133,nan,332.7856999994765,83,218,102,220,56,0,0
main_grid,IMG_0258,near laptop,low,"Close view, cool illumination; right page cropped.",Shi-Tomasi,ideal_highpass,1,True,0.6612903225806451,nan,3.1083767414093018,nan,333.2838999995147,62,187,75,187,41,0,0
main_grid,IMG_0258,near laptop,low,"Close view, cool illumination; right page cropped.",SIFT,ideal_highpass,1,True,0.0,nan,nan,nan,823.6997000003612,5,4,8,4,0,0,0
main_grid,IMG_0258,near laptop,low,"Close view, cool illumination; right page cropped.",Sobel,ideal_highpass,2,True,0.6909090909090909,nan,1.7221019864082336,nan,380.08540000009816,55,174,65,176,38,0,0
main_grid,IMG_0258,near laptop,low,"Close view, cool illumination; right page cropped.",LoG,ideal_highpass,2,True,0.6774193548387096,nan,2.465054512023926,nan,376.2534000006781,93,217,107,220,63,0,0
main_grid,IMG_0258,near laptop,low,"Close view, cool illumination; right page cropped.",Harris,ideal_highpass,2,True,0.6956521739130435,nan,2.46239697933197,nan,436.0433000001649,92,219,111,220,64,0,0
main_grid,IMG_0258,near laptop,low,"Close view, cool illumination; right page cropped.",Shi-Tomasi,ideal_highpass,2,True,0.7464788732394366,nan,2.945499897003174,nan,408.00580000086484,71,220,85,220,53,0,0
main_grid,IMG_0258,near laptop,low,"Close view, cool illumination; right page cropped.",SIFT,ideal_highpass,2,True,0.2222222222222222,nan,1.4330054223537445,nan,1022.2699000005377,9,11,14,12,2,0,0
main_grid,IMG_0258,near laptop,low,"Close view, cool illumination; right page cropped.",Sobel,ideal_highpass,3,True,0.7192982456140351,nan,1.946379542350769,nan,381.5975999996226,57,181,67,183,41,0,0
main_grid,IMG_0258,near laptop,low,"Close view, cool illumination; right page cropped.",LoG,ideal_highpass,3,True,0.66,nan,2.5441718101501465,nan,401.0130999995454,100,217,114,220,66,0,0
main_grid,IMG_0258,near laptop,low,"Close view, cool illumination; right page cropped.",Harris,ideal_highpass,3,True,0.6770833333333334,nan,2.472034215927124,nan,416.5331000003789,96,219,115,220,65,0,0
main_grid,IMG_0258,near laptop,low,"Close view, cool illumination; right page cropped.",Shi-Tomasi,ideal_highpass,3,True,0.7066666666666667,nan,2.7620060443878174,nan,402.8187000003527,75,220,89,220,53,0,0
main_grid,IMG_0258,near laptop,low,"Close view, cool illumination; right page cropped.",SIFT,ideal_highpass,3,True,0.15,nan,0.9034962058067322,nan,1039.8928000004162,20,28,25,29,3,0,0
main_grid,IMG_0258,near laptop,low,"Close view, cool illumination; right page cropped.",Sobel,gaussian_highpass,1,True,0.85,nan,1.9635462760925293,nan,326.03949999975157,40,147,51,148,34,0,0
main_grid,IMG_0258,near laptop,low,"Close view, cool illumination; right page cropped.",LoG,gaussian_highpass,1,True,0.7142857142857143,nan,2.90529465675354,nan,314.01610000011715,77,218,89,220,55,0,0
main_grid,IMG_0258,near laptop,low,"Close view, cool illumination; right page cropped.",Harris,gaussian_highpass,1,True,0.6265060240963856,nan,2.8035179376602173,nan,364.43619999954535,83,218,100,220,52,0,0
main_grid,IMG_0258,near laptop,low,"Close view, cool illumination; right page cropped.",Shi-Tomasi,gaussian_highpass,1,True,0.6103896103896104,nan,2.947692394256592,nan,349.5339999999487,77,184,90,185,47,0,0
main_grid,IMG_0258,near laptop,low,"Close view, cool illumination; right page cropped.",SIFT,gaussian_highpass,1,True,0.0,nan,nan,nan,803.2766999995147,4,4,6,4,0,0,0
main_grid,IMG_0258,near laptop,low,"Close view, cool illumination; right page cropped.",Sobel,gaussian_highpass,2,True,0.8260869565217391,nan,1.833099603652954,nan,379.74279999980354,46,158,57,159,38,0,0
main_grid,IMG_0258,near laptop,low,"Close view, cool illumination; right page cropped.",LoG,gaussian_highpass,2,True,0.7159090909090909,nan,2.654127359390259,nan,398.7675999997009,88,218,101,220,63,0,0
main_grid,IMG_0258,near laptop,low,"Close view, cool illumination; right page cropped.",Harris,gaussian_highpass,2,True,0.7078651685393258,nan,3.0725996494293213,nan,426.2024999998175,89,220,107,220,63,0,0
main_grid,IMG_0258,near laptop,low,"Close view, cool illumination; right page cropped.",Shi-Tomasi,gaussian_highpass,2,True,0.725,nan,2.827002763748169,nan,400.4098999994312,80,218,93,220,58,0,0
main_grid,IMG_0258,near laptop,low,"Close view, cool illumination; right page cropped.",SIFT,gaussian_highpass,2,True,0.3333333333333333,0.0,0.8280888199806213,8.08115291595459,994.8223999999755,9,19,11,20,3,1,0
main_grid,IMG_0258,near laptop,low,"Close view, cool illumination; right page cropped.",Sobel,gaussian_highpass,3,True,0.8085106382978723,nan,1.833099603652954,nan,409.7940000001472,47,162,58,163,38,0,0
main_grid,IMG_0258,near laptop,low,"Close view, cool illumination; right page cropped.",LoG,gaussian_highpass,3,True,0.6947368421052632,nan,2.3286176919937134,nan,393.51710000028106,95,218,108,220,66,0,0
main_grid,IMG_0258,near laptop,low,"Close view, cool illumination; right page cropped.",Harris,gaussian_highpass,3,True,0.6914893617021277,nan,2.700024366378784,nan,452.0202000003337,94,220,112,220,65,0,0
main_grid,IMG_0258,near laptop,low,"Close view, cool illumination; right page cropped.",Shi-Tomasi,gaussian_highpass,3,True,0.7228915662650602,nan,2.860478401184082,nan,439.9729999995543,83,218,96,220,60,0,0
main_grid,IMG_0258,near laptop,low,"Close view, cool illumination; right page cropped.",SIFT,gaussian_highpass,3,True,0.4117647058823529,0.5,1.8921436071395874,4.544124126434326,1022.9525000004287,17,36,22,37,7,2,1
main_grid,IMG_0259,aisle,low,"More distant view, oblique page, diagonal shadow.",Sobel,none,1,True,0.9,0.5,1.5363882780075073,20.334856033325195,55.58209999981045,50,70,51,70,45,2,1
main_grid,IMG_0259,aisle,low,"More distant view, oblique page, diagonal shadow.",LoG,none,1,True,0.9032258064516129,0.0,1.3620410561561584,4.427613258361816,51.375500000176544,62,82,65,85,56,2,0
main_grid,IMG_0259,aisle,low,"More distant view, oblique page, diagonal shadow.",Harris,none,1,True,0.8876404494382022,nan,1.433623194694519,nan,88.73589999984688,89,128,91,128,79,0,0
main_grid,IMG_0259,aisle,low,"More distant view, oblique page, diagonal shadow.",Shi-Tomasi,none,1,True,0.8045977011494253,nan,1.4474608898162842,nan,80.7901000007405,87,105,88,105,70,0,0
main_grid,IMG_0259,aisle,low,"More distant view, oblique page, diagonal shadow.",SIFT,none,1,True,0.6666666666666666,1.0,1.1118947863578796,1.016940951347351,486.78469999958907,9,9,9,11,6,5,5
main_grid,IMG_0259,aisle,low,"More distant view, oblique page, diagonal shadow.",Sobel,none,2,True,0.9056603773584906,0.5,1.5292609930038452,20.334856033325195,69.95920000008482,53,73,54,73,48,2,1
main_grid,IMG_0259,aisle,low,"More distant view, oblique page, diagonal shadow.",LoG,none,2,True,0.9154929577464789,0.0,1.350268840789795,4.427613258361816,78.40140000007523,71,97,74,100,65,2,0
main_grid,IMG_0259,aisle,low,"More distant view, oblique page, diagonal shadow.",Harris,none,2,True,0.9021739130434783,nan,1.4743385314941406,nan,101.59509999994043,92,133,94,136,83,0,0
