frequency_filter,method,pyramid_levels,count,repeatability,repeatability_std,repeatability_valid_count,matching_accuracy,matching_accuracy_std,matching_accuracy_valid_count,localization_error_px,localization_error_px_std,localization_error_px_valid_count,runtime_ms,runtime_ms_std,runtime_ms_valid_count
gaussian_highpass,Harris,1,11,0.6374409606978845,0.11177535973953273,11,nan,0.0,0,2.483315196904269,0.3859681353791178,11,358.69195454547895,19.692709122940457,11
gaussian_highpass,Harris,2,11,0.6797985788550811,0.09259635592401749,11,nan,0.0,0,2.552708999677138,0.3457075265654668,11,424.0297363635777,15.476026040131744,11
gaussian_highpass,Harris,3,11,0.6641645270580004,0.09504555766414297,11,nan,0.0,0,2.4840241887352685,0.2826691147779567,11,445.70359090895096,17.672862188516294,11
gaussian_highpass,LoG,1,11,0.6670331359708275,0.1120131697556669,11,nan,0.0,0,2.598231554031372,0.4416937790868483,11,335.87528181810325,22.790783872021606,11
gaussian_highpass,LoG,2,11,0.6759429379361266,0.10016139411059918,11,nan,0.0,0,2.4984401247718115,0.30149828696787956,11,396.22401818161796,8.25295524211286,11
gaussian_highpass,LoG,3,11,0.6719382522036736,0.10240280222288534,11,nan,0.0,0,2.398989986289631,0.30860557859056353,11,409.5992272726686,14.605503777018406,11
gaussian_highpass,SIFT,1,11,0.5244588744588744,0.3028850146449556,11,1.0,0.0,4,2.1539396941661835,1.0142840703894138,10,824.6134181817152,19.87979527963254,11
gaussian_highpass,SIFT,2,11,0.44031221303948576,0.12610228570346255,11,0.5625,0.49551560448255744,8,1.9776965894482352,0.9922089930407995,11,1018.834245454524,30.281691317414683,11
gaussian_highpass,SIFT,3,11,0.3672981914743316,0.09501570089072564,11,0.7023809523809523,0.2249338527106093,7,2.289529800415039,0.635907470479721,11,1064.1718090908564,29.572849228529346,11
gaussian_highpass,Shi-Tomasi,1,11,0.6081632322013665,0.11188865913476234,11,nan,0.0,0,2.4734997261654246,0.3840323453568445,11,341.45269090913644,16.00678299307136,11
gaussian_highpass,Shi-Tomasi,2,11,0.6484636123702038,0.11014375873825509,11,nan,0.0,0,2.526593950661746,0.3138646172856391,11,417.2347363635874,14.032036894813258,11
gaussian_highpass,Shi-Tomasi,3,11,0.6507836788244867,0.09958492628064615,11,nan,0.0,0,2.51852530782873,0.30118995939922416,11,428.7369909091219,18.358468756116245,11
gaussian_highpass,Sobel,1,11,0.7612495814176486,0.09471576980715683,11,nan,0.0,0,2.2025292949243025,0.25157611939041535,11,326.78157272725497,21.975362249478238,11
gaussian_highpass,Sobel,2,11,0.7659756041709133,0.08819785587426851,11,nan,0.0,0,2.1899423870173367,0.2789335072063063,11,392.2261818180976,15.29098613454702,11
gaussian_highpass,Sobel,3,11,0.7764444533922673,0.08933523803012502,11,nan,0.0,0,2.196864588694139,0.2960842186699254,11,400.42305454533727,17.64541808024466,11
gaussian_lowpass,Harris,1,11,0.7140655285145845,0.1488075531618377,11,0.27698412698412694,0.22111686543179482,6,2.3116139498623935,0.3789048336469596,11,320.5688818180451,13.485000294624815,11
gaussian_lowpass,Harris,2,11,0.7058807684618208,0.1416121541568393,11,0.42857142857142855,0.22112882938159256,6,2.2865617275238037,0.3672258348416689,11,383.35222727263584,14.753996321915803,11
gaussian_lowpass,Harris,3,11,0.7090371518682852,0.1313444617046555,11,0.45416666666666666,0.23791630180941084,6,2.267723701216958,0.35477933872117645,11,397.2773636365177,17.248604542058168,11
gaussian_lowpass,LoG,1,11,0.725894830574883,0.16300403734409327,11,0.41111111111111115,0.41365578819969523,9,2.1335477503863247,0.3588831533044494,11,282.63181818180203,21.591188807074502,11
gaussian_lowpass,LoG,2,11,0.7378948042795823,0.14501269594472654,11,0.4867724867724868,0.35156580248861785,9,2.1582705215974287,0.39709562554800065,11,340.8431000001325,18.21644839172873,11
gaussian_lowpass,LoG,3,11,0.7490703289038163,0.15177195697626675,11,0.5015873015873016,0.34304723566251283,9,2.21501286463304,0.4202626023537727,11,348.7337272727845,15.411384527605904,11
gaussian_lowpass,SIFT,1,11,0.5779220779220778,0.12144766847538739,11,0.6766666666666666,0.3384970412183543,10,2.3497381725094537,0.7472584620188042,11,620.0416272726711,27.879716967007187,11
gaussian_lowpass,SIFT,2,11,0.6045327221797809,0.1305158376836085,11,0.6375291375291375,0.3097649693913574,11,2.1851156083020298,0.5884076158952167,11,772.3815818181637,47.866303839610964,11
gaussian_lowpass,SIFT,3,11,0.5467281510759772,0.12302259199758601,11,0.5411255411255411,0.27790537164390766,11,2.237298293547197,0.5905190401060922,11,807.7258454545286,18.76969840483995,11
gaussian_lowpass,Shi-Tomasi,1,11,0.7034254727300466,0.12771839911545763,11,0.5822916666666667,0.3462508237340497,8,2.1534528027881277,0.40081043347967094,11,309.93975454550144,13.190502913434576,11
gaussian_lowpass,Shi-Tomasi,2,11,0.6990201262236915,0.1257440766783055,11,0.4693452380952381,0.37012994133059235,8,2.2126311009580437,0.37380731595202604,11,369.54973636354475,14.116529970915886,11
gaussian_lowpass,Shi-Tomasi,3,11,0.7055683734063753,0.12893406037043764,11,0.4708333333333333,0.3847214693846796,8,2.2534155791456048,0.3473155120065862,11,374.8057545455429,16.1899827464787,11
gaussian_lowpass,Sobel,1,11,0.7261530603977128,0.18769475322325044,11,0.14814814814814814,0.3379312516832344,9,2.229479345408353,0.495358240563308,11,290.12976363636966,22.891838571722605,11
gaussian_lowpass,Sobel,2,11,0.7393854760423675,0.17258317745546023,11,0.31481481481481477,0.3480545579483797,9,2.239402109926397,0.4728952116476959,11,351.77726363632576,14.22708494984486,11
gaussian_lowpass,Sobel,3,11,0.7162708766463708,0.17528949775728328,11,0.287037037037037,0.2919971672448422,9,2.1851857629689304,0.46933871812228906,11,355.46950909073615,12.223771044113203,11
ideal_highpass,Harris,1,11,0.6536883441336456,0.10244503754084247,11,nan,0.0,0,2.432354060086337,0.41763992695886665,11,336.5825909091158,17.138709208025134,11
ideal_highpass,Harris,2,11,0.6979776397503521,0.1074514977321456,11,nan,0.0,0,2.4598603031852027,0.2623953059714843,11,405.47481818190465,25.568289534840687,11
ideal_highpass,Harris,3,11,0.684088939157571,0.1023097866023626,11,nan,0.0,0,2.442202188751914,0.27790087321776874,11,420.2434909091773,30.449279399323242,11
ideal_highpass,LoG,1,11,0.6719197012608658,0.08973759567290625,11,0.0,0.0,2,2.3762097738005896,0.24031386892300474,11,299.06982727284645,12.055442843679218,11
ideal_highpass,LoG,2,11,0.6723649342065866,0.07855084868695295,11,0.0,0.0,2,2.3520070856267754,0.22883442960380077,11,372.3514727272149,23.79771845737973,11
ideal_highpass,LoG,3,11,0.662404151146409,0.07211583416856615,11,0.0,0.0,2,2.3803106654774058,0.23783544720228453,11,377.5294909088519,19.791078041568852,11
ideal_highpass,SIFT,1,11,0.549793388429752,0.31701809029099676,11,0.8,0.44721359549995804,5,2.1954791128635405,0.7901372270651031,10,842.1901090908829,25.213861652790268,11
ideal_highpass,SIFT,2,11,0.47879955012307945,0.16160215462468072,11,0.8571428571428571,0.37796447300922725,7,2.04429154233499,0.4914081476582003,11,1040.4044454545246,45.37632079686734,11
ideal_highpass,SIFT,3,11,0.40287155636125893,0.13096598736699502,11,0.7142857142857143,0.48795003647426666,7,2.3181889707391914,0.8886403137419936,11,1063.1324727272922,37.87638833947079,11
ideal_highpass,Shi-Tomasi,1,11,0.6198070404713379,0.11090109177816879,11,nan,0.0,0,2.420757618817416,0.36774168837648075,11,314.0612000000725,19.793773271292316,11
ideal_highpass,Shi-Tomasi,2,11,0.6708447828907448,0.12260110288798252,11,nan,0.0,0,2.459684420715679,0.3429994195128633,11,382.50250909095485,27.130073482514803,11
ideal_highpass,Shi-Tomasi,3,11,0.6511406953669019,0.1057628858489068,11,nan,0.0,0,2.4582715142856943,0.3145513970384896,11,405.01289999991224,24.05203292568929,11
ideal_highpass,Sobel,1,11,0.724504312850964,0.10724125201063557,11,nan,0.0,0,2.1910486708987844,0.3557925838592882,11,295.2215090909621,13.827454215259682,11
ideal_highpass,Sobel,2,11,0.7091954341954341,0.1157837797141692,11,nan,0.0,0,2.1239550709724426,0.28826651609726495,11,367.36470909098983,30.288203598989963,11
ideal_highpass,Sobel,3,11,0.7251904631250292,0.10757458607471601,11,nan,0.0,0,2.177628907290372,0.26559655529698634,11,384.4650636363605,15.802342618936743,11
ideal_lowpass,Harris,1,11,0.45255116664563527,0.10243669207607216,11,0.537037037037037,0.3611111111111111,9,2.3078719756819983,0.38549582538802146,11,288.6118545453759,12.082237094720572,11
ideal_lowpass,Harris,2,11,0.5129100951809034,0.09246174084852123,11,0.6041666666666666,0.36663960939129747,8,2.3719566356052053,0.3245619635625857,11,343.11100909061764,15.647398984625859,11
ideal_lowpass,Harris,3,11,0.5197792828469102,0.08227625971734917,11,0.5729166666666666,0.3491415208583786,8,2.3538321906870063,0.32368292581305613,11,371.11463636384457,34.104453364634274,11
ideal_lowpass,LoG,1,11,0.48975709957597147,0.1057136734956467,11,0.14285714285714285,0.3779644730092273,7,2.5369351126930932,0.4198601922415755,11,255.19946363643115,16.31718822644606,11
ideal_lowpass,LoG,2,11,0.529860700579365,0.08025972605159123,11,0.1875,0.37201190457142247,8,2.497798366980119,0.3377549171903682,11,294.44561818193256,12.42924609418598,11
ideal_lowpass,LoG,3,11,0.5347979620706894,0.0727881692878215,11,0.1875,0.37201190457142247,8,2.5499208352782508,0.33722596240457414,11,322.79331818170414,25.110243923346857,11
ideal_lowpass,SIFT,1,11,0.5075757575757576,0.28976653786220113,11,0.9,0.22360679774997896,5,2.590352961421013,0.5852800354789854,10,594.9917181816835,23.534037085527853,11
ideal_lowpass,SIFT,2,11,0.629037629037629,0.11458635329218568,11,0.7518518518518519,0.34765528549248925,9,2.5729428475553338,0.4266253986815041,11,754.8059636361689,56.70719793739789,11
ideal_lowpass,SIFT,3,11,0.6336233855583701,0.11438751544017511,11,0.6071428571428572,0.36885555678165877,9,2.4641829024661672,0.250065114199526,11,780.9950909091144,22.89471423841606,11
ideal_lowpass,Shi-Tomasi,1,11,0.48185208728427575,0.09482537037794476,11,0.5238095238095238,0.29546842014263947,7,2.346276678822257,0.5238133672457981,11,277.3315272726739,18.98068740461288,11
ideal_lowpass,Shi-Tomasi,2,11,0.522766786413391,0.08334071050841363,11,0.5,0.38832158167381164,8,2.3958495259284973,0.523340967220029,11,342.2103545453865,39.99370411707621,11
ideal_lowpass,Shi-Tomasi,3,11,0.5253831083054877,0.07357141944326769,11,0.5277777777777778,0.34020690871988585,6,2.376674836332148,0.5170883608319055,11,346.31019090920745,15.788686761981896,11
ideal_lowpass,Sobel,1,11,0.6058868864350148,0.14447997303288995,11,0.25,0.4629100498862757,8,2.850153001871976,0.2772657802856019,11,251.2071545453926,16.180982600010264,11
ideal_lowpass,Sobel,2,11,0.6785964522806629,0.14387577673473828,11,0.35714285714285715,0.47559486560567094,7,2.7881543311205776,0.1906238416634566,11,305.409054545304,13.044541020062804,11
ideal_lowpass,Sobel,3,11,0.6472222448397997,0.14706294920579982,11,0.35714285714285715,0.47559486560567094,7,2.7778983658010308,0.2102720646402349,11,328.88550000015215,29.81978421624074,11
none,Harris,1,11,0.6660571509547347,0.11181471296006198,11,0.0,0.0,2,2.4021553234620527,0.3649652665268784,11,85.76150909109195,5.7298694769928655,11
none,Harris,2,11,0.6871861662769735,0.10467883039416628,11,0.0,0.0,4,2.3267482735893945,0.3259362623597775,11,103.59772727257554,4.0121059726277855,11
none,Harris,3,11,0.6859568484408757,0.10738483167925128,11,0.0,0.0,4,2.3431153405796397,0.32561277927972165,11,106.97053636365375,9.293969394020246,11
none,LoG,1,11,0.6984237409698203,0.14064726764837743,11,0.16666666666666666,0.3535533905932738,9,2.1079859625209463,0.3709880413929914,11,53.82604545444668,5.254958089219223,11
none,LoG,2,11,0.7400927418879579,0.1311268472031053,11,0.16666666666666666,0.3535533905932738,9,2.0864973718469795,0.32620280211050434,11,67.24893636378097,5.97772936737126,11
none,LoG,3,11,0.7379078931663939,0.13985185636592112,11,0.08333333333333333,0.2041241452319315,6,2.05559072711251,0.30301389906582593,11,69.40087272720451,5.644150512986374,11
none,SIFT,1,11,0.5737373737373738,0.3121914863191993,11,1.0,0.0,7,1.6188161015510558,0.5334089732944197,10,451.0934636361774,27.102297990365578,11
