scope,image_id,lighting,scale_factor,blur_sigma,noise_sigma,source_type,method,frequency_filter,pyramid_levels,nms,repeatability,matching_accuracy,localization_error_px,matching_error_px,runtime_ms,reference_keypoints,scene_keypoints,raw_reference_keypoints,raw_scene_keypoints,repeated_points,accepted_matches,correct_matches
main_grid,syn_01,neutral,0.96,0.0,1.0,synthetic_procedural,Sobel,ideal_lowpass,3,True,0.5681818181818182,0.8157894736842105,1.313417673110962,0.7997678518295288,190.71770000005017,220,220,220,220,125,38,31
main_grid,syn_01,neutral,0.96,0.0,1.0,synthetic_procedural,LoG,ideal_lowpass,3,True,0.5954545454545455,0.8461538461538461,1.5588840246200562,1.490788221359253,211.97680000000219,220,220,220,220,131,26,22
main_grid,syn_01,neutral,0.96,0.0,1.0,synthetic_procedural,Harris,ideal_lowpass,3,True,0.6772727272727272,0.9320388349514563,1.206237554550171,1.1794806718826294,220.51280000005136,220,220,220,220,149,103,96
main_grid,syn_01,neutral,0.96,0.0,1.0,synthetic_procedural,Shi-Tomasi,ideal_lowpass,3,True,0.6590909090909091,0.831858407079646,1.2439839839935303,1.3206285238265991,208.73099999994338,220,220,220,220,145,113,94
main_grid,syn_01,neutral,0.96,0.0,1.0,synthetic_procedural,SIFT,ideal_lowpass,3,True,0.7181818181818181,0.7702702702702703,0.7034590840339661,0.8417342305183411,413.17509999998947,220,220,220,220,158,74,57
main_grid,syn_01,neutral,0.96,0.0,1.0,synthetic_procedural,Sobel,gaussian_lowpass,1,True,0.21333333333333335,0.42857142857142855,0.8767904937267303,324.26953125,164.4757000001391,150,220,150,220,32,14,6
main_grid,syn_01,neutral,0.96,0.0,1.0,synthetic_procedural,LoG,gaussian_lowpass,1,True,0.6739130434782609,1.0,1.133855402469635,0.5154266357421875,177.40950000006706,92,220,92,220,62,11,11
main_grid,syn_01,neutral,0.96,0.0,1.0,synthetic_procedural,Harris,gaussian_lowpass,1,True,0.8863636363636364,0.9829059829059829,0.5304118394851685,0.5164369940757751,178.96440000004077,220,220,220,220,195,117,115
main_grid,syn_01,neutral,0.96,0.0,1.0,synthetic_procedural,Shi-Tomasi,gaussian_lowpass,1,True,0.8636363636363636,1.0,0.5369111895561218,0.5291353464126587,173.00169999998616,220,220,220,220,190,115,115
main_grid,syn_01,neutral,0.96,0.0,1.0,synthetic_procedural,SIFT,gaussian_lowpass,1,True,0.8116883116883117,0.881578947368421,0.20286250114440918,0.18823552131652832,334.72519999986616,154,158,154,158,125,76,67
main_grid,syn_01,neutral,0.96,0.0,1.0,synthetic_procedural,Sobel,gaussian_lowpass,2,True,0.2545454545454545,0.42857142857142855,1.3900886178016663,324.26953125,274.7807000000648,220,220,220,220,56,14,6
main_grid,syn_01,neutral,0.96,0.0,1.0,synthetic_procedural,LoG,gaussian_lowpass,2,True,0.5906976744186047,0.7857142857142857,1.4766664505004883,0.6847857236862183,312.4413000000459,215,220,215,220,127,14,11
main_grid,syn_01,neutral,0.96,0.0,1.0,synthetic_procedural,Harris,gaussian_lowpass,2,True,0.8863636363636364,0.9847328244274809,0.63343346118927,0.6324689388275146,309.6367000000555,220,220,220,220,195,131,129
main_grid,syn_01,neutral,0.96,0.0,1.0,synthetic_procedural,Shi-Tomasi,gaussian_lowpass,2,True,0.8409090909090909,0.9922480620155039,0.6560713648796082,0.6619606018066406,290.2489999999034,220,220,220,220,185,129,128
main_grid,syn_01,neutral,0.96,0.0,1.0,synthetic_procedural,SIFT,gaussian_lowpass,2,True,0.85,0.8974358974358975,0.27989304065704346,0.3184649646282196,602.6939999999286,220,220,220,220,187,117,105
main_grid,syn_01,neutral,0.96,0.0,1.0,synthetic_procedural,Sobel,gaussian_lowpass,3,True,0.25,0.42857142857142855,1.3967363834381104,324.26953125,322.8993000000173,220,220,220,220,55,14,6
main_grid,syn_01,neutral,0.96,0.0,1.0,synthetic_procedural,LoG,gaussian_lowpass,3,True,0.5772727272727273,0.7857142857142857,1.4766664505004883,0.6847857236862183,332.1609999998145,220,220,220,220,127,14,11
main_grid,syn_01,neutral,0.96,0.0,1.0,synthetic_procedural,Harris,gaussian_lowpass,3,True,0.8727272727272727,0.9844961240310077,0.6520756483078003,0.6556013822555542,301.1398000001009,220,220,220,220,192,129,127
main_grid,syn_01,neutral,0.96,0.0,1.0,synthetic_procedural,Shi-Tomasi,gaussian_lowpass,3,True,0.8454545454545455,0.9705882352941176,0.7062069177627563,0.6993860602378845,294.4145999999819,220,220,220,220,186,136,132
main_grid,syn_01,neutral,0.96,0.0,1.0,synthetic_procedural,SIFT,gaussian_lowpass,3,True,0.8590909090909091,0.8823529411764706,0.28055471181869507,0.31942835450172424,594.532000000072,220,220,220,220,189,119,105
main_grid,syn_01,neutral,0.96,0.0,1.0,synthetic_procedural,Sobel,ideal_highpass,1,True,0.5909090909090909,0.9615384615384616,1.429274559020996,0.591636061668396,231.9793000001482,220,220,220,220,130,52,50
main_grid,syn_01,neutral,0.96,0.0,1.0,synthetic_procedural,LoG,ideal_highpass,1,True,0.6681818181818182,0.9767441860465116,0.5906375050544739,0.42787742614746094,247.40330000008726,220,220,220,220,147,86,84
main_grid,syn_01,neutral,0.96,0.0,1.0,synthetic_procedural,Harris,ideal_highpass,1,True,0.7863636363636364,0.990990990990991,0.4621052145957947,0.3931478261947632,242.62999999996282,220,220,220,220,173,111,110
main_grid,syn_01,neutral,0.96,0.0,1.0,synthetic_procedural,Shi-Tomasi,ideal_highpass,1,True,0.8454545454545455,0.9607843137254902,0.5902847349643707,0.42134517431259155,250.97059999984594,220,220,220,220,186,102,98
main_grid,syn_01,neutral,0.96,0.0,1.0,synthetic_procedural,SIFT,ideal_highpass,1,True,0.6386554621848739,0.8,0.20636873692274094,0.1717681586742401,456.2897000000703,124,119,124,119,76,30,24
main_grid,syn_01,neutral,0.96,0.0,1.0,synthetic_procedural,Sobel,ideal_highpass,2,True,0.5909090909090909,0.9615384615384616,1.429274559020996,0.591636061668396,267.93369999995775,220,220,220,220,130,52,50
main_grid,syn_01,neutral,0.96,0.0,1.0,synthetic_procedural,LoG,ideal_highpass,2,True,0.6636363636363637,0.9761904761904762,0.594755232334137,0.42787742614746094,263.6148999999932,220,220,220,220,146,84,82
main_grid,syn_01,neutral,0.96,0.0,1.0,synthetic_procedural,Harris,ideal_highpass,2,True,0.7545454545454545,0.9897959183673469,0.5418837368488312,0.416967511177063,279.39839999999094,220,220,220,220,166,98,97
main_grid,syn_01,neutral,0.96,0.0,1.0,synthetic_procedural,Shi-Tomasi,ideal_highpass,2,True,0.8045454545454546,0.9425287356321839,0.7427510619163513,0.5020581483840942,279.3767000000571,220,220,220,220,177,87,82
main_grid,syn_01,neutral,0.96,0.0,1.0,synthetic_procedural,SIFT,ideal_highpass,2,True,0.6545454545454545,0.7631578947368421,0.49623164534568787,0.18024754524230957,548.7413999999262,220,220,220,220,144,38,29
main_grid,syn_01,neutral,0.96,0.0,1.0,synthetic_procedural,Sobel,ideal_highpass,3,True,0.5909090909090909,0.9615384615384616,1.429274559020996,0.591636061668396,271.8399000000318,220,220,220,220,130,52,50
main_grid,syn_01,neutral,0.96,0.0,1.0,synthetic_procedural,LoG,ideal_highpass,3,True,0.6636363636363637,0.9761904761904762,0.594755232334137,0.42787742614746094,293.31230000002506,220,220,220,220,146,84,82
main_grid,syn_01,neutral,0.96,0.0,1.0,synthetic_procedural,Harris,ideal_highpass,3,True,0.740909090909091,0.9789473684210527,0.5585233569145203,0.42789167165756226,308.06139999981497,220,220,220,220,163,95,93
main_grid,syn_01,neutral,0.96,0.0,1.0,synthetic_procedural,Shi-Tomasi,ideal_highpass,3,True,0.8,0.9425287356321839,0.742210865020752,0.5020581483840942,300.1561999999467,220,220,220,220,176,87,82
main_grid,syn_01,neutral,0.96,0.0,1.0,synthetic_procedural,SIFT,ideal_highpass,3,True,0.6409090909090909,0.7631578947368421,0.48987138271331787,0.18024754524230957,583.1201000000874,220,220,220,220,141,38,29
main_grid,syn_01,neutral,0.96,0.0,1.0,synthetic_procedural,Sobel,gaussian_highpass,1,True,0.509090909090909,0.9583333333333334,1.3329313397407532,0.42483919858932495,235.86509999995542,220,220,220,220,112,48,46
main_grid,syn_01,neutral,0.96,0.0,1.0,synthetic_procedural,LoG,gaussian_highpass,1,True,0.7227272727272728,1.0,0.5072817206382751,0.4055313169956207,238.9327000000776,220,220,220,220,159,95,95
main_grid,syn_01,neutral,0.96,0.0,1.0,synthetic_procedural,Harris,gaussian_highpass,1,True,0.75,0.9904761904761905,0.47361624240875244,0.4060388207435608,253.51270000010118,220,220,220,220,165,105,104
main_grid,syn_01,neutral,0.96,0.0,1.0,synthetic_procedural,Shi-Tomasi,gaussian_highpass,1,True,0.7863636363636364,0.9801980198019802,0.5519879460334778,0.41088560223579407,245.76559999991332,220,220,220,220,173,101,99
main_grid,syn_01,neutral,0.96,0.0,1.0,synthetic_procedural,SIFT,gaussian_highpass,1,True,0.7043478260869566,0.9333333333333333,0.20902825891971588,0.16114220023155212,498.4994999999799,125,115,125,115,81,30,28
main_grid,syn_01,neutral,0.96,0.0,1.0,synthetic_procedural,Sobel,gaussian_highpass,2,True,0.509090909090909,0.9574468085106383,1.6361353993415833,0.42293357849121094,288.58359999981076,220,220,220,220,112,47,45
main_grid,syn_01,neutral,0.96,0.0,1.0,synthetic_procedural,LoG,gaussian_highpass,2,True,0.7181818181818181,1.0,0.4973732680082321,0.401847779750824,293.05249999993066,220,220,220,220,158,94,94
main_grid,syn_01,neutral,0.96,0.0,1.0,synthetic_procedural,Harris,gaussian_highpass,2,True,0.740909090909091,0.9887640449438202,0.517696738243103,0.39672479033470154,313.5253999998895,220,220,220,220,163,89,88
main_grid,syn_01,neutral,0.96,0.0,1.0,synthetic_procedural,Shi-Tomasi,gaussian_highpass,2,True,0.7772727272727272,1.0,0.6304203867912292,0.39984679222106934,314.2354000001433,220,220,220,220,171,85,85
main_grid,syn_01,neutral,0.96,0.0,1.0,synthetic_procedural,SIFT,gaussian_highpass,2,True,0.6681818181818182,0.9069767441860465,0.3451002240180969,0.18934468924999237,645.1414000000568,220,220,220,220,147,43,39
main_grid,syn_01,neutral,0.96,0.0,1.0,synthetic_procedural,Sobel,gaussian_highpass,3,True,0.509090909090909,0.9574468085106383,1.6361353993415833,0.42293357849121094,297.21870000003037,220,220,220,220,112,47,45
main_grid,syn_01,neutral,0.96,0.0,1.0,synthetic_procedural,LoG,gaussian_highpass,3,True,0.7181818181818181,1.0,0.4973732680082321,0.401847779750824,304.3642000000091,220,220,220,220,158,94,94
main_grid,syn_01,neutral,0.96,0.0,1.0,synthetic_procedural,Harris,gaussian_highpass,3,True,0.7181818181818181,0.9880952380952381,0.5258958637714386,0.3891999125480652,317.67279999985476,220,220,220,220,158,84,83
main_grid,syn_01,neutral,0.96,0.0,1.0,synthetic_procedural,Shi-Tomasi,gaussian_highpass,3,True,0.7636363636363637,0.9883720930232558,0.6207292973995209,0.41234269738197327,317.19250000014654,220,220,220,220,168,86,85
main_grid,syn_01,neutral,0.96,0.0,1.0,synthetic_procedural,SIFT,gaussian_highpass,3,True,0.6681818181818182,0.9285714285714286,0.3451002240180969,0.18066024780273438,678.9814000001115,220,220,220,220,147,42,39
