scope,image_id,method,frequency_filter,pyramid_levels,nms,image_scale,repeatability,localization_error_px,repeated_points,reference_keypoints,scene_keypoints
scale_curve,syn_10,LoG,ideal_highpass,3,True,1.25,0.24413145539906103,2.918933868408203,52,220,213
scale_curve,syn_10,Harris,ideal_highpass,3,True,0.5,0.4221105527638191,2.246451497077942,84,220,199
scale_curve,syn_10,Harris,ideal_highpass,3,True,0.75,0.5181818181818182,2.2174112796783447,114,220,220
scale_curve,syn_10,Harris,ideal_highpass,3,True,1.0,0.3378995433789954,2.15127170085907,74,220,219
scale_curve,syn_10,Harris,ideal_highpass,3,True,1.25,0.26865671641791045,2.8817204236984253,54,220,201
scale_curve,syn_10,Shi-Tomasi,ideal_highpass,3,True,0.5,0.46808510638297873,2.3519245386123657,88,220,188
scale_curve,syn_10,Shi-Tomasi,ideal_highpass,3,True,0.75,0.5227272727272727,2.2862675189971924,115,220,220
scale_curve,syn_10,Shi-Tomasi,ideal_highpass,3,True,1.0,0.43317972350230416,2.362223505973816,94,220,217
scale_curve,syn_10,Shi-Tomasi,ideal_highpass,3,True,1.25,0.3,2.593104124069214,60,220,200
scale_curve,syn_10,SIFT,ideal_highpass,3,True,0.5,0.2727272727272727,1.7011269330978394,60,220,220
scale_curve,syn_10,SIFT,ideal_highpass,3,True,0.75,0.41363636363636364,2.4365322589874268,91,220,220
scale_curve,syn_10,SIFT,ideal_highpass,3,True,1.0,0.37727272727272726,2.1215152740478516,83,220,220
scale_curve,syn_10,SIFT,ideal_highpass,3,True,1.25,0.355,2.81461763381958,71,220,200
scale_curve,syn_10,Sobel,gaussian_highpass,3,True,0.5,0.12727272727272726,2.547011613845825,28,220,220
scale_curve,syn_10,Sobel,gaussian_highpass,3,True,0.75,0.20454545454545456,2.3022308349609375,45,220,220
scale_curve,syn_10,Sobel,gaussian_highpass,3,True,1.0,0.15,2.0676116943359375,33,220,220
scale_curve,syn_10,Sobel,gaussian_highpass,3,True,1.25,0.16818181818181818,1.7396461963653564,37,220,220
scale_curve,syn_10,LoG,gaussian_highpass,3,True,0.5,0.12272727272727273,3.0409584045410156,27,220,220
scale_curve,syn_10,LoG,gaussian_highpass,3,True,0.75,0.15454545454545454,1.984656810760498,34,220,220
scale_curve,syn_10,LoG,gaussian_highpass,3,True,1.0,0.29545454545454547,1.9321763515472412,65,220,220
scale_curve,syn_10,LoG,gaussian_highpass,3,True,1.25,0.2962962962962963,1.6239486932754517,64,220,216
scale_curve,syn_10,Harris,gaussian_highpass,3,True,0.5,0.4322916666666667,2.2408499717712402,83,220,192
scale_curve,syn_10,Harris,gaussian_highpass,3,True,0.75,0.5636363636363636,2.4604430198669434,124,220,220
scale_curve,syn_10,Harris,gaussian_highpass,3,True,1.0,0.2968036529680365,2.0783891677856445,65,220,219
scale_curve,syn_10,Harris,gaussian_highpass,3,True,1.25,0.3119266055045872,2.2819489240646362,68,220,218
scale_curve,syn_10,Shi-Tomasi,gaussian_highpass,3,True,0.5,0.5359116022099447,2.91259503364563,97,220,181
scale_curve,syn_10,Shi-Tomasi,gaussian_highpass,3,True,0.75,0.5909090909090909,2.073215126991272,130,220,220
scale_curve,syn_10,Shi-Tomasi,gaussian_highpass,3,True,1.0,0.4611872146118721,2.311178684234619,101,220,219
scale_curve,syn_10,Shi-Tomasi,gaussian_highpass,3,True,1.25,0.3130841121495327,2.2699344158172607,67,220,214
scale_curve,syn_10,SIFT,gaussian_highpass,3,True,0.5,0.2409090909090909,1.9796228408813477,53,220,220
scale_curve,syn_10,SIFT,gaussian_highpass,3,True,0.75,0.35454545454545455,1.7904965281486511,78,220,220
scale_curve,syn_10,SIFT,gaussian_highpass,3,True,1.0,0.3409090909090909,1.4632431268692017,75,220,220
scale_curve,syn_10,SIFT,gaussian_highpass,3,True,1.25,0.3813953488372093,1.554691731929779,82,220,215
