scope,image_id,ablation,lighting,scale_factor,blur_sigma,noise_sigma,source_type,method,frequency_filter,pyramid_levels,nms,repeatability,matching_accuracy,localization_error_px,matching_error_px,runtime_ms,reference_keypoints,scene_keypoints,raw_reference_keypoints,raw_scene_keypoints,repeated_points,accepted_matches,correct_matches
ablation,syn_02,no_pyramid,warm_gradient,1.02,0.5,2.0,synthetic_procedural,Harris,gaussian_lowpass,1,True,0.8818181818181818,1.0,0.5412492454051971,0.47947412729263306,302.27460000014617,220,220,220,220,194,142,142
ablation,syn_02,no_pyramid,warm_gradient,1.02,0.5,2.0,synthetic_procedural,Shi-Tomasi,gaussian_lowpass,1,True,0.8727272727272727,1.0,0.5318009257316589,0.48660367727279663,299.5425999999952,220,220,220,220,192,136,136
ablation,syn_02,no_pyramid,warm_gradient,1.02,0.5,2.0,synthetic_procedural,SIFT,gaussian_lowpass,1,True,0.8013245033112583,0.9014084507042254,0.1376948058605194,0.13164015114307404,571.8075999998291,151,162,151,162,121,71,64
ablation,syn_02,no_frequency,warm_gradient,1.02,0.5,2.0,synthetic_procedural,Sobel,none,3,True,0.3181818181818182,0.7297297297297297,2.0473564863204956,1.5783809423446655,162.47539999994842,220,220,220,220,70,37,27
ablation,syn_02,no_frequency,warm_gradient,1.02,0.5,2.0,synthetic_procedural,LoG,none,3,True,0.6818181818181818,0.9833333333333333,0.5603074729442596,0.5089844465255737,156.09199999994416,220,220,220,220,150,120,118
ablation,syn_02,no_frequency,warm_gradient,1.02,0.5,2.0,synthetic_procedural,Harris,none,3,True,0.8045454545454546,1.0,0.4796711206436157,0.3940350115299225,154.33020000000397,220,220,220,220,177,130,130
ablation,syn_02,no_frequency,warm_gradient,1.02,0.5,2.0,synthetic_procedural,Shi-Tomasi,none,3,True,0.8045454545454546,0.9694656488549618,0.6441096663475037,0.5783312916755676,126.45279999992454,220,220,220,220,177,131,127
ablation,syn_02,no_frequency,warm_gradient,1.02,0.5,2.0,synthetic_procedural,SIFT,none,3,True,0.6772727272727272,0.8076923076923077,0.39218267798423767,0.3638795018196106,678.6845999999969,220,220,220,220,149,52,42
ablation,syn_02,no_nms,warm_gradient,1.02,0.5,2.0,synthetic_procedural,Sobel,gaussian_lowpass,3,False,0.06818181818181818,1.0,0.24966976046562195,0.24966976046562195,335.00019999996766,220,220,220,220,15,3,3
ablation,syn_02,no_nms,warm_gradient,1.02,0.5,2.0,synthetic_procedural,LoG,gaussian_lowpass,3,False,0.35,0.75,0.5950407981872559,0.3034278154373169,346.0192999998526,220,220,220,220,77,4,3
ablation,syn_02,no_nms,warm_gradient,1.02,0.5,2.0,synthetic_procedural,Harris,gaussian_lowpass,3,False,0.7363636363636363,1.0,0.4339834898710251,0.36200085282325745,356.9055999998909,220,220,220,220,162,87,87
ablation,syn_02,no_nms,warm_gradient,1.02,0.5,2.0,synthetic_procedural,Shi-Tomasi,gaussian_lowpass,3,False,0.7454545454545455,1.0,0.5048088729381561,0.45857375860214233,381.3677999999072,220,220,220,220,164,105,105
ablation,syn_02,no_nms,warm_gradient,1.02,0.5,2.0,synthetic_procedural,SIFT,gaussian_lowpass,3,False,0.7181818181818181,0.9659090909090909,0.13341443240642548,0.10074996948242188,732.864999999947,220,220,220,220,158,88,85
ablation,syn_03,full,cool_side_light,0.9,0.8,4.0,synthetic_procedural,Sobel,gaussian_lowpass,3,True,0.4,0.8235294117647058,1.4818214178085327,1.2925227880477905,422.9373000000578,220,220,220,220,88,17,14
ablation,syn_03,full,cool_side_light,0.9,0.8,4.0,synthetic_procedural,LoG,gaussian_lowpass,3,True,0.41363636363636364,0.5555555555555556,1.648869276046753,2.4697647094726562,429.76180000005115,220,220,220,220,91,9,5
ablation,syn_03,full,cool_side_light,0.9,0.8,4.0,synthetic_procedural,Harris,gaussian_lowpass,3,True,0.7681818181818182,1.0,0.9376679062843323,0.7764939665794373,383.03659999996853,220,220,220,220,169,114,114
ablation,syn_03,full,cool_side_light,0.9,0.8,4.0,synthetic_procedural,Shi-Tomasi,gaussian_lowpass,3,True,0.7636363636363637,0.9797979797979798,0.9674363136291504,0.784919261932373,364.82539999997243,220,220,220,220,168,99,97
ablation,syn_03,full,cool_side_light,0.9,0.8,4.0,synthetic_procedural,SIFT,gaussian_lowpass,3,True,0.759090909090909,0.9204545454545454,0.44660326838493347,0.3794306516647339,639.4735000001219,220,220,220,220,167,88,81
ablation,syn_03,no_pyramid,cool_side_light,0.9,0.8,4.0,synthetic_procedural,Sobel,gaussian_lowpass,1,True,0.3333333333333333,0.8461538461538461,1.2512729167938232,1.0950596332550049,261.7977999998402,150,220,150,220,50,13,11
ablation,syn_03,no_pyramid,cool_side_light,0.9,0.8,4.0,synthetic_procedural,LoG,gaussian_lowpass,1,True,0.42391304347826086,0.7142857142857143,1.4963786602020264,1.648869276046753,263.79180000003544,92,220,92,220,39,7,5
ablation,syn_03,no_pyramid,cool_side_light,0.9,0.8,4.0,synthetic_procedural,Harris,gaussian_lowpass,1,True,0.7681818181818182,0.9896907216494846,0.9787664413452148,0.7644726634025574,303.49930000011227,220,220,220,220,169,97,96
ablation,syn_03,no_pyramid,cool_side_light,0.9,0.8,4.0,synthetic_procedural,Shi-Tomasi,gaussian_lowpass,1,True,0.7136363636363636,1.0,0.84285968542099,0.6959317326545715,290.46180000000277,220,220,220,220,157,85,85
ablation,syn_03,no_pyramid,cool_side_light,0.9,0.8,4.0,synthetic_procedural,SIFT,gaussian_lowpass,1,True,0.6753246753246753,0.9444444444444444,0.36942894756793976,0.2873130440711975,485.3473999999096,154,154,154,154,104,54,51
ablation,syn_03,no_frequency,cool_side_light,0.9,0.8,4.0,synthetic_procedural,Sobel,none,3,True,0.2,0.8666666666666667,1.9009516835212708,1.812199354171753,139.58200000001852,220,220,220,220,44,15,13
ablation,syn_03,no_frequency,cool_side_light,0.9,0.8,4.0,synthetic_procedural,LoG,none,3,True,0.07727272727272727,1.0,0.6141663193702698,0.4062473177909851,140.21339999999327,220,220,220,220,17,6,6
ablation,syn_03,no_frequency,cool_side_light,0.9,0.8,4.0,synthetic_procedural,Harris,none,3,True,0.6772727272727272,1.0,0.615203857421875,0.4194467067718506,140.23740000016005,220,220,220,220,149,66,66
ablation,syn_03,no_frequency,cool_side_light,0.9,0.8,4.0,synthetic_procedural,Shi-Tomasi,none,3,True,0.6818181818181818,0.95,0.8671824038028717,0.6033826470375061,128.2837000001109,220,220,220,220,150,60,57
ablation,syn_03,no_frequency,cool_side_light,0.9,0.8,4.0,synthetic_procedural,SIFT,none,3,True,0.45454545454545453,0.8620689655172413,0.47289322316646576,0.3704056739807129,716.4543999999751,220,220,220,220,100,29,25
ablation,syn_03,no_nms,cool_side_light,0.9,0.8,4.0,synthetic_procedural,Sobel,gaussian_lowpass,3,False,0.03636363636363636,1.0,0.27431290596723557,0.9071462750434875,344.31130000007215,220,220,220,220,8,5,5
ablation,syn_03,no_nms,cool_side_light,0.9,0.8,4.0,synthetic_procedural,LoG,gaussian_lowpass,3,False,0.0,0.0,nan,418.0460205078125,304.9094000000423,220,220,220,220,0,3,0
ablation,syn_03,no_nms,cool_side_light,0.9,0.8,4.0,synthetic_procedural,Harris,gaussian_lowpass,3,False,0.4909090909090909,1.0,0.6120251417160034,0.5039896965026855,305.88699999998425,220,220,220,220,108,26,26
ablation,syn_03,no_nms,cool_side_light,0.9,0.8,4.0,synthetic_procedural,Shi-Tomasi,gaussian_lowpass,3,False,0.6863636363636364,1.0,0.6259588599205017,0.5632568597793579,297.1216999999342,220,220,220,220,151,39,39
ablation,syn_03,no_nms,cool_side_light,0.9,0.8,4.0,synthetic_procedural,SIFT,gaussian_lowpass,3,False,0.6181818181818182,0.9705882352941176,0.3191178888082504,0.3193134367465973,557.8789000001052,220,220,220,220,136,68,66
ablation,syn_04,full,low_light_noise,1.06,1.2,8.0,synthetic_procedural,Sobel,gaussian_lowpass,3,True,0.4590909090909091,0.75,1.2063827514648438,1.0101091861724854,276.4024000000518,220,220,220,220,101,12,9
ablation,syn_04,full,low_light_noise,1.06,1.2,8.0,synthetic_procedural,LoG,gaussian_lowpass,3,True,0.5818181818181818,1.0,1.588581383228302,0.36564645171165466,309.59120000011353,220,220,220,220,128,8,8
ablation,syn_04,full,low_light_noise,1.06,1.2,8.0,synthetic_procedural,Harris,gaussian_lowpass,3,True,0.8363636363636363,1.0,0.7990727126598358,0.7110521197319031,322.1072000001186,220,220,220,220,184,137,137
ablation,syn_04,full,low_light_noise,1.06,1.2,8.0,synthetic_procedural,Shi-Tomasi,gaussian_lowpass,3,True,0.85,1.0,0.9125080704689026,0.7628355026245117,281.4421000000493,220,220,220,220,187,126,126
ablation,syn_04,full,low_light_noise,1.06,1.2,8.0,synthetic_procedural,SIFT,gaussian_lowpass,3,True,0.8363636363636363,0.9313725490196079,0.3446706682443619,0.33658576011657715,562.8259000000071,220,220,220,220,184,102,95
ablation,syn_04,no_pyramid,low_light_noise,1.06,1.2,8.0,synthetic_procedural,Sobel,gaussian_lowpass,1,True,0.4563758389261745,0.75,1.0101092457771301,1.0101091861724854,214.77869999989707,149,220,149,220,68,12,9
ablation,syn_04,no_pyramid,low_light_noise,1.06,1.2,8.0,synthetic_procedural,LoG,gaussian_lowpass,1,True,0.6413043478260869,1.0,1.361341953277588,0.36564645171165466,202.46309999993173,92,220,92,220,59,8,8
ablation,syn_04,no_pyramid,low_light_noise,1.06,1.2,8.0,synthetic_procedural,Harris,gaussian_lowpass,1,True,0.8045454545454546,0.9916666666666667,0.8031262159347534,0.67576003074646,231.84330000003683,220,220,220,220,177,120,119
ablation,syn_04,no_pyramid,low_light_noise,1.06,1.2,8.0,synthetic_procedural,Shi-Tomasi,gaussian_lowpass,1,True,0.8363636363636363,1.0,0.8385682106018066,0.7288297414779663,231.50289999989582,220,220,220,220,184,117,117
ablation,syn_04,no_pyramid,low_light_noise,1.06,1.2,8.0,synthetic_procedural,SIFT,gaussian_lowpass,1,True,0.7880794701986755,0.9242424242424242,0.21184130012989044,0.19374480843544006,457.9713000000538,151,164,151,164,119,66,61
ablation,syn_04,no_frequency,low_light_noise,1.06,1.2,8.0,synthetic_procedural,Sobel,none,3,True,0.08636363636363636,0.8333333333333334,2.146296501159668,2.2337138652801514,121.02730000015072,220,220,220,220,19,12,10
ablation,syn_04,no_frequency,low_light_noise,1.06,1.2,8.0,synthetic_procedural,LoG,none,3,True,0.29545454545454547,1.0,0.8453409671783447,0.7510893940925598,131.9232999999258,220,220,220,220,65,33,33
ablation,syn_04,no_frequency,low_light_noise,1.06,1.2,8.0,synthetic_procedural,Harris,none,3,True,0.7045454545454546,0.9875,0.8728578686714172,0.6381450891494751,141.54450000000907,220,220,220,220,155,80,79
ablation,syn_04,no_frequency,low_light_noise,1.06,1.2,8.0,synthetic_procedural,Shi-Tomasi,none,3,True,0.7545454545454545,0.9690721649484536,0.8882051408290863,0.6807287335395813,144.1423000001123,220,220,220,220,166,97,94
ablation,syn_04,no_frequency,low_light_noise,1.06,1.2,8.0,synthetic_procedural,SIFT,none,3,True,0.509090909090909,0.8846153846153846,0.5989250540733337,0.4565935432910919,721.8524999998408,220,220,220,220,112,26,23
ablation,syn_04,no_nms,low_light_noise,1.06,1.2,8.0,synthetic_procedural,Sobel,gaussian_lowpass,3,False,0.14545454545454545,nan,0.3915266692638397,nan,326.0606999999709,220,220,220,220,32,0,0
ablation,syn_04,no_nms,low_light_noise,1.06,1.2,8.0,synthetic_procedural,LoG,gaussian_lowpass,3,False,0.1318181818181818,1.0,0.6340053677558899,0.36564645171165466,329.0368000000399,220,220,220,220,29,2,2
ablation,syn_04,no_nms,low_light_noise,1.06,1.2,8.0,synthetic_procedural,Harris,gaussian_lowpass,3,False,0.65,1.0,0.5021982192993164,0.49303269386291504,363.42289999993227,220,220,220,220,143,52,52
ablation,syn_04,no_nms,low_light_noise,1.06,1.2,8.0,synthetic_procedural,Shi-Tomasi,gaussian_lowpass,3,False,0.7272727272727273,1.0,0.5649629533290863,0.4939126968383789,383.0930999999964,220,220,220,220,160,63,63
ablation,syn_04,no_nms,low_light_noise,1.06,1.2,8.0,synthetic_procedural,SIFT,gaussian_lowpass,3,False,0.6772727272727272,1.0,0.2003992348909378,0.19661228358745575,618.5668000000533,220,220,220,220,149,85,85
ablation,syn_05,full,mixed_light,0.98,0.4,3.0,synthetic_procedural,Sobel,gaussian_lowpass,3,True,0.42727272727272725,0.967741935483871,1.2899520993232727,0.7901914119720459,394.5059999998648,220,220,220,220,94,31,30
ablation,syn_05,full,mixed_light,0.98,0.4,3.0,synthetic_procedural,LoG,gaussian_lowpass,3,True,0.5727272727272728,0.7272727272727273,1.4749146103858948,0.8782151341438293,421.7556999999488,220,220,220,220,126,11,8
ablation,syn_05,full,mixed_light,0.98,0.4,3.0,synthetic_procedural,Harris,gaussian_lowpass,3,True,0.8772727272727273,1.0,0.6349597573280334,0.6161580681800842,404.56140000014784,220,220,220,220,193,141,141
ablation,syn_05,full,mixed_light,0.98,0.4,3.0,synthetic_procedural,Shi-Tomasi,gaussian_lowpass,3,True,0.8545454545454545,0.9850746268656716,0.6866984665393829,0.645168125629425,360.5448000000706,220,220,220,220,188,134,132
ablation,syn_05,full,mixed_light,0.98,0.4,3.0,synthetic_procedural,SIFT,gaussian_lowpass,3,True,0.8772727272727273,0.9495798319327731,0.2293039709329605,0.20855265855789185,745.2183000000332,220,220,220,220,193,119,113
ablation,syn_05,no_pyramid,mixed_light,0.98,0.4,3.0,synthetic_procedural,Sobel,gaussian_lowpass,1,True,0.23333333333333334,0.9,0.8436604738235474,0.7044486999511719,284.17590000003656,150,179,150,179,35,10,9
ablation,syn_05,no_pyramid,mixed_light,0.98,0.4,3.0,synthetic_procedural,LoG,gaussian_lowpass,1,True,0.6521739130434783,0.8,1.3676432967185974,0.8401159048080444,278.4387000001516,92,220,92,220,60,10,8
ablation,syn_05,no_pyramid,mixed_light,0.98,0.4,3.0,synthetic_procedural,Harris,gaussian_lowpass,1,True,0.8818181818181818,0.9844961240310077,0.5100795030593872,0.4969554543495178,309.04309999982615,220,220,220,220,194,129,127
ablation,syn_05,no_pyramid,mixed_light,0.98,0.4,3.0,synthetic_procedural,Shi-Tomasi,gaussian_lowpass,1,True,0.8636363636363636,0.992,0.5620531737804413,0.5612888932228088,301.06309999996483,220,220,220,220,190,125,124
ablation,syn_05,no_pyramid,mixed_light,0.98,0.4,3.0,synthetic_procedural,SIFT,gaussian_lowpass,1,True,0.8376623376623377,0.961038961038961,0.15744952857494354,0.11022382229566574,525.3359999999248,154,158,154,158,129,77,74
ablation,syn_05,no_frequency,mixed_light,0.98,0.4,3.0,synthetic_procedural,Sobel,none,3,True,0.37272727272727274,0.8888888888888888,2.3865848779678345,0.8467464447021484,134.7338000000491,220,220,220,220,82,36,32
ablation,syn_05,no_frequency,mixed_light,0.98,0.4,3.0,synthetic_procedural,LoG,none,3,True,0.6772727272727272,1.0,0.5390335321426392,0.48679959774017334,154.48140000012245,220,220,220,220,149,114,114
ablation,syn_05,no_frequency,mixed_light,0.98,0.4,3.0,synthetic_procedural,Harris,none,3,True,0.7272727272727273,1.0,0.5315681099891663,0.427935391664505,147.37029999992046,220,220,220,220,160,107,107
ablation,syn_05,no_frequency,mixed_light,0.98,0.4,3.0,synthetic_procedural,Shi-Tomasi,none,3,True,0.7818181818181819,1.0,0.592915415763855,0.528242290019989,136.90950000000157,220,220,220,220,172,121,121
ablation,syn_05,no_frequency,mixed_light,0.98,0.4,3.0,synthetic_procedural,SIFT,none,3,True,0.6863636363636364,0.8363636363636363,0.2561236619949341,0.27054622769355774,658.9596000001166,220,220,220,220,151,55,46
ablation,syn_05,no_nms,mixed_light,0.98,0.4,3.0,synthetic_procedural,Sobel,gaussian_lowpass,3,False,0.23636363636363636,1.0,0.3350483179092407,0.3092264235019684,342.4098000000413,220,220,220,220,52,17,17
ablation,syn_05,no_nms,mixed_light,0.98,0.4,3.0,synthetic_procedural,LoG,gaussian_lowpass,3,False,0.2727272727272727,0.75,0.47656024992465973,0.41109499335289,301.4365999999882,220,220,220,220,60,4,3
