frequency_filter,method,noise_sigma,count,repeatability,repeatability_std,repeatability_valid_count,localization_error_px,localization_error_px_std,localization_error_px_valid_count
gaussian_highpass,Harris,0.0,10,0.6096803652968037,0.14523310968437478,10,1.0202404856681824,0.5833011440436238,10
gaussian_highpass,Harris,5.0,10,0.5951473640514736,0.15769339523674228,10,1.0860692858695984,0.5950632868218075,10
gaussian_highpass,Harris,10.0,10,0.5700181778664717,0.18531350237892286,10,1.1903108954429626,0.7010894406992748,10
gaussian_highpass,Harris,20.0,10,0.5019767756603184,0.19972776049909743,10,1.33764346241951,0.7227208012271696,10
gaussian_highpass,LoG,0.0,10,0.5513636363636365,0.19198888952395862,10,0.908423227071762,0.6392362621370551,10
gaussian_highpass,LoG,5.0,10,0.5240909090909092,0.2087398238228316,10,0.9508612632751465,0.6501724645216115,10
gaussian_highpass,LoG,10.0,10,0.49136363636363634,0.21273126561045916,10,1.0698764741420745,0.7652185262265423,10
gaussian_highpass,LoG,20.0,10,0.422475508509755,0.21565484332925822,10,1.276276233792305,0.8391658805881015,10
gaussian_highpass,SIFT,0.0,10,0.550909090909091,0.11017558404872427,10,0.7788735657930375,0.5742429169888869,10
gaussian_highpass,SIFT,5.0,10,0.5355915317559155,0.13926591472319574,10,0.7953364491462708,0.5738687517054508,10
gaussian_highpass,SIFT,10.0,10,0.4730436288982383,0.1465493339904636,10,0.8035376042127609,0.5477163888866435,10
gaussian_highpass,SIFT,20.0,10,0.3500275061831126,0.1230885057736875,10,1.022390840947628,0.6603695306764729,10
gaussian_highpass,Shi-Tomasi,0.0,10,0.6877438771274388,0.11136864363718081,10,1.0900619447231292,0.6044795895353458,10
gaussian_highpass,Shi-Tomasi,5.0,10,0.6772526086066971,0.12423205779177252,10,1.140238058567047,0.6607399537463639,10
gaussian_highpass,Shi-Tomasi,10.0,10,0.6393356643356644,0.16751361895779404,10,1.2558604508638382,0.7883458310660142,10
gaussian_highpass,Shi-Tomasi,20.0,10,0.5558290967110273,0.23778522172375935,10,1.3564040064811707,0.7560442420091519,10
gaussian_highpass,Sobel,0.0,10,0.4004545454545455,0.14898570444360865,10,1.973563003540039,0.5730591429394769,10
gaussian_highpass,Sobel,5.0,10,0.38681818181818184,0.1415584581066223,10,2.1171061515808107,0.531607859430504,10
gaussian_highpass,Sobel,10.0,10,0.38681818181818184,0.13860862448106392,10,2.101715552806854,0.3399987611876076,10
gaussian_highpass,Sobel,20.0,10,0.37272727272727274,0.14391546850598944,10,2.1868997693061827,0.43260600254794346,10
